device_id,location_general,type,max_heartbeat_str,description,fields,notes,x,y,z,grid
018a47e0,linklab,temp_humid,15min,"8.64,3.12,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,8.64,3.12,1.1,162
1834351,linklab,contact,25min,"8.62,3.47,1.1","Contact,rssi",,8.62,3.47,1.1,162
050610a6,linklab,light_level,30min,"13.94,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,13.94,3.12,3.1,164
018a2136,linklab,temp_humid,15min,"12.34,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,12.34,4.63,1.1,164
050d8c55,linklab,dual_motion,100s,"13.94,3.65,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,13.94,3.65,3.1,164
05060eba,linklab,light_level,30min,"17.17,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,17.17,3.12,3.1,165
018a2123,linklab,temp_humid,15min,"15.66,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,15.66,4.63,1.1,165
05060ead,linklab,light_level,30min,"20.43,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,20.43,3.12,3.1,166
018a1e13,linklab,temp_humid,15min,"18.93,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,18.93,4.63,1.1,166
0512871d,linklab,dual_motion,100s,"20.47,3.68,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,20.47,3.68,3.1,166
0506da67,linklab,light_level,30min,"23.67,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,23.67,3.12,3.1,167
018a4741,linklab,temp_humid,15min,"25.46,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,25.46,4.63,1.1,168
1815241,linklab,contact,25min,"25.45,4.99,1.1","Contact,rssi",,25.45,4.99,1.1,168
05060dc2,linklab,light_level,30min,"30.25,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,30.25,3.12,3.1,169
018a461f,linklab,temp_humid,15min,"28.72,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,28.72,4.63,1.1,169
051087b1,linklab,dual_motion,100s,"30.25,3.68,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,30.25,3.68,3.1,169
1834254,linklab,contact,25min,"28.73,4.97,1.1","Contact,rssi",,28.73,4.97,1.1,169
0506118e,linklab,light_level,30min,"33.51,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,33.51,3.12,3.1,170
018a1f0e,linklab,temp_humid,15min,"35.25,4.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,35.25,4.63,1.1,171
5.06E+44,linklab,light_level,30min,"36.8,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,36.8,3.12,3.1,172
018a27a2,linklab,temp_humid,15min,"38.51,4.62,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,38.51,4.62,1.1,172
018151d9,linklab,contact,25min,"38.5,4.95,1.1","Contact,rssi",,38.5,4.95,1.1,172
0506ed3a,linklab,light_level,30min,"40.06,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,40.06,3.12,3.1,173
awair-8532,linklab,awair_element,10s,"41.5,3.08,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,41.5,3.08,0.38,173
00880cc5,linklab,motion,30min,"41.48,4.49,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,41.48,4.49,3.1,173
050d5e42,linklab,dual_motion,100s,"40.13,3.68,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,40.13,3.68,3.1,173
0506d2de,linklab,light_level,30min,"43.28,3.12,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,43.28,3.12,3.1,174
